gene,log2FC,pval,padj
ENSG00000154451.14,0.6982901599767568,0.002045077444653362,23.493849684177825
ENSG00000170502.12,-0.31613904209703136,0.0020493131459087773,23.542509420200034
ENSG00000251600.6,-0.47314550134864675,0.002050189599081168,23.552578114244458
ENSG00000138735.15,-0.22443672651989477,0.002056917491113727,23.629868137914496
ENSG00000104419.14,-0.31459424475928444,0.002069689616672553,23.776594316334286
ENSG00000157259.7,-0.5707928639650666,0.002071051412115305,23.792238622380623
ENSG00000162704.15,0.32314112861452315,0.002071879892885163,23.801756209464752
ENSG00000170515.13,0.323993952148637,0.0020768379222896602,23.858714051263618
ENSG00000162390.17,-0.20868568410231614,0.002079802710164071,23.89277353436485
ENSG00000198901.13,0.7992771324059205,0.002094132433579,24.05739339695555
ENSG00000182600.9,0.4252587349782786,0.00211527369036583,24.300264154922655
ENSG00000114026.21,-0.6108837393415447,0.00213720795672065,24.552245006806828
ENSG00000148634.15,-0.20345711476214046,0.0021468295953611626,24.662778391509036
ENSG00000197299.10,0.47650407609398115,0.00216036543025275,24.818278062743595
